timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-10 00:00:00+00:00,0.0,57.1428571429,42.8571428571,42.8571428571,7.0
2017-11-11 00:00:00+00:00,9.09090909091,18.1818181818,72.7272727273,63.6363636364,11.0
2017-11-12 00:00:00+00:00,23.0769230769,23.0769230769,53.8461538462,30.7692307692,13.0
2017-11-13 00:00:00+00:00,14.2857142857,57.1428571429,28.5714285714,14.2857142857,7.0
2017-11-14 00:00:00+00:00,35.7142857143,42.8571428571,21.4285714286,-14.2857142857,14.0
2017-11-20 00:00:00+00:00,0.0,82.3529411765,17.6470588235,17.6470588235,51.0
2017-11-21 00:00:00+00:00,0.934579439252,71.9626168224,27.1028037383,26.1682242991,107.0
2017-11-22 00:00:00+00:00,0.0,29.1666666667,70.8333333333,70.8333333333,48.0
2017-11-23 00:00:00+00:00,0.0,58.8235294118,41.1764705882,41.1764705882,17.0
2017-11-24 00:00:00+00:00,8.33333333333,33.3333333333,58.3333333333,50.0,12.0
2017-11-25 00:00:00+00:00,0.0,70.5882352941,29.4117647059,29.4117647059,17.0
2017-11-26 00:00:00+00:00,0.0,60.2739726027,39.7260273973,39.7260273973,73.0
2017-11-27 00:00:00+00:00,0.0,34.0425531915,65.9574468085,65.9574468085,47.0
2017-11-28 00:00:00+00:00,0.0,22.2222222222,77.7777777778,77.7777777778,9.0
2017-11-29 00:00:00+00:00,7.69230769231,30.7692307692,61.5384615385,53.8461538462,13.0
2017-12-01 00:00:00+00:00,1.49253731343,5.22388059701,93.2835820896,91.7910447761,134.0
2017-12-02 00:00:00+00:00,15.0,5.0,80.0,65.0,20.0
2017-12-03 00:00:00+00:00,13.3333333333,40.0,46.6666666667,33.3333333333,15.0
2017-12-04 00:00:00+00:00,11.7647058824,47.0588235294,41.1764705882,29.4117647059,17.0
2017-12-05 00:00:00+00:00,0.0,77.7777777778,22.2222222222,22.2222222222,9.0
2017-12-06 00:00:00+00:00,0.0,50.0,50.0,50.0,10.0
2017-12-11 00:00:00+00:00,0.0,0.0,100.0,100.0,1.0
2017-12-12 00:00:00+00:00,0.0,50.0,50.0,50.0,4.0
2017-12-13 00:00:00+00:00,0.0,20.0,80.0,80.0,5.0
2017-12-14 00:00:00+00:00,33.3333333333,33.3333333333,33.3333333333,0.0,3.0
2017-12-15 00:00:00+00:00,33.3333333333,66.6666666667,0.0,-33.3333333333,3.0
2017-12-16 00:00:00+00:00,0.0,50.0,50.0,50.0,2.0
2017-12-17 00:00:00+00:00,0.0,0.0,100.0,100.0,4.0
2017-12-19 00:00:00+00:00,33.3333333333,0.0,66.6666666667,33.3333333333,6.0
2017-12-29 00:00:00+00:00,0.0,100.0,0.0,0.0,10.0
2017-12-30 00:00:00+00:00,0.0,82.1428571429,17.8571428571,17.8571428571,28.0
2017-12-31 00:00:00+00:00,0.892857142857,95.5357142857,3.57142857143,2.67857142857,112.0
2018-01-01 00:00:00+00:00,0.0,77.7777777778,22.2222222222,22.2222222222,18.0
2018-01-02 00:00:00+00:00,3.63636363636,85.4545454545,10.9090909091,7.27272727273,55.0
2018-01-03 00:00:00+00:00,0.49504950495,95.2475247525,4.25742574257,3.76237623762,1010.0
2018-01-04 00:00:00+00:00,1.05540897098,91.0290237467,7.91556728232,6.86015831135,379.0
2018-01-05 00:00:00+00:00,0.523560209424,86.9109947644,12.5654450262,12.0418848168,191.0
2018-01-06 00:00:00+00:00,2.54237288136,88.9830508475,8.47457627119,5.93220338983,118.0
2018-01-07 00:00:00+00:00,1.37931034483,91.724137931,6.89655172414,5.51724137931,145.0
2018-01-08 00:00:00+00:00,1.93798449612,94.5736434109,3.48837209302,1.5503875969,258.0
2018-01-09 00:00:00+00:00,12.9032258065,70.9677419355,16.1290322581,3.22580645161,31.0
