timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-07 00:00:00+00:00,7.14285714286,40.4761904762,52.380952381,45.2380952381,42.0
2017-11-08 00:00:00+00:00,12.9032258065,51.6129032258,35.4838709677,22.5806451613,31.0
2017-11-09 00:00:00+00:00,7.69230769231,58.9743589744,33.3333333333,25.641025641,39.0
2017-11-10 00:00:00+00:00,10.5323658309,24.0318988433,65.4357353258,54.9033694949,13919.0
2017-11-11 00:00:00+00:00,0.0,70.8333333333,29.1666666667,29.1666666667,24.0
2017-11-12 00:00:00+00:00,9.09090909091,63.6363636364,27.2727272727,18.1818181818,22.0
2017-11-13 00:00:00+00:00,10.3448275862,34.4827586207,55.1724137931,44.8275862069,29.0
2017-11-14 00:00:00+00:00,15.0,45.0,40.0,25.0,20.0
2017-12-01 00:00:00+00:00,8.69565217391,43.4782608696,47.8260869565,39.1304347826,46.0
2017-12-02 00:00:00+00:00,10.3448275862,51.724137931,37.9310344828,27.5862068966,29.0
2017-12-03 00:00:00+00:00,12.5,68.75,18.75,6.25,16.0
2017-12-04 00:00:00+00:00,20.0,40.0,40.0,20.0,20.0
2017-12-05 00:00:00+00:00,5.55555555556,77.7777777778,16.6666666667,11.1111111111,18.0
2017-12-06 00:00:00+00:00,0.0,100.0,0.0,0.0,10.0
2017-12-19 00:00:00+00:00,0.0,60.0,40.0,40.0,20.0
2017-12-22 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2018-01-08 00:00:00+00:00,2.80373831776,83.8245866283,13.3716750539,10.5679367362,1391.0
2018-01-09 00:00:00+00:00,4.77667493797,80.5210918114,14.7022332506,9.92555831266,1612.0
