timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-10 00:00:00+00:00,0.0,36.8421052632,63.1578947368,63.1578947368,19.0
2017-11-11 00:00:00+00:00,10.3448275862,55.1724137931,34.4827586207,24.1379310345,29.0
2017-11-12 00:00:00+00:00,25.9259259259,48.1481481481,25.9259259259,0.0,27.0
2017-11-13 00:00:00+00:00,35.1043643264,32.2580645161,32.6375711575,-2.46679316888,1054.0
2017-11-14 00:00:00+00:00,34.5029239766,35.0877192982,30.4093567251,-4.09356725146,171.0
2017-11-20 00:00:00+00:00,11.1111111111,55.5555555556,33.3333333333,22.2222222222,54.0
2017-11-21 00:00:00+00:00,16.393442623,50.8196721311,32.7868852459,16.393442623,61.0
2017-11-22 00:00:00+00:00,10.0,60.0,30.0,20.0,30.0
2017-11-23 00:00:00+00:00,11.1111111111,55.5555555556,33.3333333333,22.2222222222,18.0
2017-11-24 00:00:00+00:00,14.2857142857,64.2857142857,21.4285714286,7.14285714286,14.0
2017-11-25 00:00:00+00:00,0.0,62.5,37.5,37.5,24.0
2017-11-26 00:00:00+00:00,21.4285714286,64.2857142857,14.2857142857,-7.14285714286,14.0
2017-11-27 00:00:00+00:00,11.5384615385,57.6923076923,30.7692307692,19.2307692308,26.0
2017-11-28 00:00:00+00:00,15.7894736842,57.8947368421,26.3157894737,10.5263157895,19.0
2017-11-29 00:00:00+00:00,30.7692307692,38.4615384615,30.7692307692,0.0,13.0
2017-12-01 00:00:00+00:00,8.33333333333,54.1666666667,37.5,29.1666666667,24.0
2017-12-02 00:00:00+00:00,20.0,30.0,50.0,30.0,20.0
2017-12-03 00:00:00+00:00,7.14285714286,35.7142857143,57.1428571429,50.0,14.0
2017-12-04 00:00:00+00:00,0.0,11.7647058824,88.2352941176,88.2352941176,17.0
2017-12-05 00:00:00+00:00,8.33333333333,41.6666666667,50.0,41.6666666667,12.0
2017-12-06 00:00:00+00:00,0.0,60.0,40.0,40.0,10.0
2017-12-11 00:00:00+00:00,0.0,33.3333333333,66.6666666667,66.6666666667,3.0
2017-12-12 00:00:00+00:00,0.0,42.8571428571,57.1428571429,57.1428571429,14.0
2017-12-13 00:00:00+00:00,7.14285714286,71.4285714286,21.4285714286,14.2857142857,14.0
2017-12-14 00:00:00+00:00,15.3846153846,38.4615384615,46.1538461538,30.7692307692,13.0
2017-12-15 00:00:00+00:00,15.3846153846,76.9230769231,7.69230769231,-7.69230769231,13.0
2017-12-16 00:00:00+00:00,0.0,66.6666666667,33.3333333333,33.3333333333,9.0
2017-12-17 00:00:00+00:00,0.0,100.0,0.0,0.0,3.0
2017-12-19 00:00:00+00:00,0.0,66.6666666667,33.3333333333,33.3333333333,6.0
2017-12-30 00:00:00+00:00,0.0,25.0,75.0,75.0,4.0
2018-01-04 00:00:00+00:00,25.0,50.0,25.0,0.0,8.0
